"Date","Price","Open","High","Low","Vol.","Change %"
"12/08/2023","3,079.99","3,079.88","3,100.22","3,067.46","","0.21%"
"12/07/2023","3,073.63","3,065.93","3,084.50","3,041.11","","-0.19%"
"12/06/2023","3,079.50","3,139.89","3,146.52","3,077.94","","-1.59%"
"12/05/2023","3,129.33","3,102.30","3,134.57","3,090.31","","0.48%"
"12/04/2023","3,114.41","3,123.18","3,126.55","3,096.28","","-0.89%"
"12/01/2023","3,142.29","3,155.87","3,162.97","3,136.56","","-0.74%"
"11/30/2023","3,165.79","3,176.50","3,176.53","3,146.53","","-0.24%"
"11/29/2023","3,173.52","3,196.75","3,200.33","3,173.37","","-0.71%"
"11/28/2023","3,196.36","3,189.16","3,197.61","3,157.55","","0.17%"
"11/27/2023","3,191.05","3,220.25","3,224.61","3,178.20","","-0.83%"
"11/24/2023","3,217.76","3,223.75","3,231.77","3,203.62","","-0.10%"
"11/23/2023","3,221.05","3,233.09","3,238.81","3,218.72","","-0.30%"
"11/22/2023","3,230.65","3,221.90","3,239.17","3,220.37","","0.38%"
"11/21/2023","3,218.48","3,198.73","3,219.11","3,193.46","","0.35%"
"11/20/2023","3,207.36","3,205.73","3,216.73","3,194.40","","0.03%"
"11/17/2023","3,206.34","3,172.78","3,208.17","3,151.95","","0.54%"
"11/16/2023","3,189.08","3,209.33","3,215.93","3,184.97","","-0.81%"
"11/15/2023","3,215.11","3,195.43","3,221.22","3,182.78","","0.08%"
"11/14/2023","3,212.39","3,236.48","3,236.48","3,192.32","","-1.10%"
"11/13/2023","3,248.27","3,241.31","3,251.74","3,235.06","","0.19%"
"11/10/2023","3,242.06","3,236.03","3,246.31","3,229.10","","0.07%"
"11/09/2023","3,239.92","3,241.50","3,245.11","3,222.34","","-0.17%"
"11/08/2023","3,245.43","3,238.81","3,257.32","3,233.11","","-0.03%"
"11/07/2023","3,246.34","3,239.98","3,246.65","3,228.46","","0.35%"
"11/06/2023","3,235.11","3,207.47","3,237.09","3,207.10","","0.83%"
"11/03/2023","3,208.63","3,207.04","3,212.81","3,182.17","","0.36%"
"11/02/2023","3,197.22","3,216.92","3,228.46","3,197.22","","-0.29%"
"11/01/2023","3,206.52","3,192.96","3,214.83","3,191.34","","0.17%"
"10/31/2023","3,200.97","3,221.08","3,226.88","3,176.53","","-0.81%"
"10/30/2023","3,227.07","3,232.82","3,246.00","3,219.70","","0.09%"
"10/27/2023","3,224.18","3,219.49","3,241.55","3,185.84","","0.01%"
"10/26/2023","3,223.89","3,272.71","3,283.49","3,221.79","","-1.27%"
"10/25/2023","3,265.28","3,265.18","3,269.76","3,243.25","","0.01%"
"10/24/2023","3,265.01","3,256.29","3,266.59","3,237.08","","0.04%"
"10/23/2023","3,263.68","3,271.76","3,283.80","3,248.39","","-0.17%"
"10/20/2023","3,269.27","3,257.85","3,269.71","3,236.31","","0.43%"
"10/19/2023","3,255.16","3,245.26","3,260.45","3,232.16","","0.18%"
"10/18/2023","3,249.21","3,252.31","3,262.54","3,225.44","","0.06%"
"10/17/2023","3,247.15","3,239.37","3,252.55","3,228.11","","0.38%"
"10/16/2023","3,234.78","3,204.81","3,235.66","3,202.94","","1.33%"
"10/13/2023","3,192.33","3,182.47","3,195.23","3,176.17","","0.56%"
"10/12/2023","3,174.66","3,130.04","3,178.50","3,122.58","","-0.61%"
"10/11/2023","3,194.12","3,174.99","3,196.44","3,168.29","","0.54%"
"10/10/2023","3,177.03","3,175.08","3,182.08","3,162.61","","0.09%"
"10/09/2023","3,174.02","3,166.21","3,185.86","3,164.63","","0.93%"
"10/06/2023","3,144.89","3,138.87","3,145.01","3,121.00","","0.42%"
"10/05/2023","3,131.76","3,126.71","3,138.50","3,112.96","","-0.08%"
"10/04/2023","3,134.25","3,138.62","3,154.97","3,130.03","","-0.31%"
"10/03/2023","3,143.88","3,134.45","3,146.33","3,103.63","","0.37%"
"10/02/2023","3,132.33","3,141.69","3,162.53","3,125.58","","-0.03%"
"09/29/2023","3,133.26","3,121.07","3,141.12","3,106.97","","0.81%"
"09/28/2023","3,108.07","3,080.81","3,108.07","3,076.64","","1.32%"
"09/27/2023","3,067.61","3,053.37","3,081.41","3,052.59","","0.51%"
"09/26/2023","3,051.91","3,034.23","3,051.91","3,001.92","","0.21%"
"09/25/2023","3,045.39","3,051.85","3,056.23","3,025.89","","-0.12%"
"09/22/2023","3,049.07","3,009.87","3,051.69","2,988.04","","0.99%"
"09/21/2023","3,019.22","3,058.20","3,062.68","3,009.89","","-1.59%"
"09/20/2023","3,068.15","3,061.18","3,091.05","3,013.75","","-0.51%"
"09/19/2023","3,083.85","3,134.37","3,141.38","3,054.25","","-1.64%"
"09/18/2023","3,135.18","3,165.06","3,177.23","3,127.37","","-0.55%"
"09/15/2023","3,152.53","3,126.57","3,155.45","3,116.72","","0.42%"
"09/14/2023","3,139.49","3,144.29","3,148.50","3,072.82","","-0.28%"
"09/13/2023","3,148.32","3,189.08","3,191.57","3,148.32","","-0.56%"
"09/12/2023","3,165.92","3,118.14","3,165.92","3,117.70","","1.39%"
"09/11/2023","3,122.37","3,145.26","3,153.61","3,106.92","","-0.65%"
"09/08/2023","3,142.88","3,178.44","3,188.77","3,114.39","","-0.83%"
"09/07/2023","3,169.07","3,247.90","3,262.73","3,145.25","","-2.35%"
"09/06/2023","3,245.47","3,270.84","3,270.84","3,236.79","","-0.58%"
"09/05/2023","3,264.43","3,273.39","3,287.34","3,246.46","","-0.14%"
"09/04/2023","3,268.97","3,242.49","3,268.97","3,242.40","","1.16%"
"09/01/2023","3,231.35","3,230.53","3,232.92","3,214.95","","0.10%"
"08/31/2023","3,227.99","3,218.48","3,234.68","3,211.94","","0.48%"
"08/30/2023","3,212.68","3,214.11","3,220.85","3,193.18","","0.04%"
"08/29/2023","3,211.36","3,205.06","3,218.40","3,191.31","","0.40%"
"08/28/2023","3,198.72","3,161.36","3,202.24","3,161.36","","1.31%"
"08/25/2023","3,157.33","3,150.03","3,158.61","3,132.07","","0.64%"
"08/24/2023","3,137.37","3,117.02","3,137.37","3,108.17","","-0.28%"
"08/23/2023","3,146.20","3,180.39","3,184.17","3,113.24","","-0.57%"
"08/22/2023","3,164.25","3,146.42","3,172.30","3,124.19","","0.77%"
"08/21/2023","3,139.93","3,139.29","3,150.61","3,122.37","","0.92%"
"08/18/2023","3,111.22","3,077.78","3,111.22","3,058.01","","1.71%"
"08/17/2023","3,059.02","3,069.81","3,076.31","3,031.73","","0.31%"
"08/16/2023","3,049.46","3,109.46","3,122.34","3,015.57","","-2.11%"
"08/15/2023","3,115.25","3,083.32","3,163.74","3,068.66","","-0.50%"
"08/14/2023","3,131.00","3,186.47","3,225.78","3,117.31","","-0.78%"
"08/11/2023","3,155.51","3,158.59","3,163.47","3,138.04","","0.21%"
"08/10/2023","3,148.86","3,122.06","3,148.86","3,115.85","","1.59%"
"08/09/2023","3,099.52","3,106.03","3,120.25","3,083.77","","0.46%"
"08/08/2023","3,085.31","3,077.63","3,092.54","3,026.72","","0.04%"
"08/07/2023","3,084.08","3,120.54","3,153.60","3,084.08","","-0.27%"
"08/04/2023","3,092.44","3,158.53","3,194.83","3,073.69","","-1.76%"
"08/03/2023","3,147.80","3,111.70","3,150.28","3,094.27","","1.33%"
"08/02/2023","3,106.46","3,096.72","3,123.45","3,080.63","","0.41%"
"08/01/2023","3,093.64","3,085.97","3,114.56","3,055.25","","0.66%"
"07/31/2023","3,073.50","3,026.93","3,073.50","3,026.93","","2.16%"
"07/28/2023","3,008.61","2,986.35","3,008.61","2,978.12","","0.69%"
"07/27/2023","2,987.85","2,975.52","2,992.47","2,975.52","","0.59%"
"07/26/2023","2,970.42","2,974.21","2,982.47","2,954.90","","-0.17%"
"07/25/2023","2,975.36","2,948.87","2,975.36","2,943.74","","1.29%"
"07/24/2023","2,937.47","2,929.23","2,947.17","2,925.10","","0.48%"
"07/21/2023","2,923.54","2,890.45","2,925.54","2,889.78","","0.21%"
"07/20/2023","2,917.48","2,947.08","2,947.29","2,905.02","","-0.88%"
"07/19/2023","2,943.43","2,959.41","2,966.72","2,938.66","","-0.38%"
"07/18/2023","2,954.52","2,923.69","2,955.81","2,922.74","","1.27%"
"07/17/2023","2,917.61","2,889.09","2,917.72","2,880.11","","0.51%"
"07/14/2023","2,902.72","2,882.96","2,902.72","2,874.44","","0.59%"
"07/13/2023","2,885.63","2,899.98","2,912.15","2,873.00","","-0.39%"
"07/12/2023","2,896.83","2,870.61","2,897.28","2,870.61","","1.28%"
"07/11/2023","2,860.33","2,865.64","2,867.36","2,851.01","","0.12%"
"07/10/2023","2,856.76","2,838.85","2,864.32","2,838.52","","0.86%"
"07/07/2023","2,832.51","2,823.89","2,832.82","2,814.38","","0.46%"
"07/06/2023","2,819.60","2,816.74","2,837.49","2,813.38","","0.52%"
"07/05/2023","2,805.00","2,795.40","2,813.76","2,795.40","","-0.11%"
"07/04/2023","2,808.22","2,798.02","2,808.22","2,776.79","","0.51%"
"07/03/2023","2,793.93","2,795.58","2,804.93","2,790.81","","-0.12%"
"06/30/2023","2,797.37","2,796.00","2,800.12","2,779.61","","0.03%"
"06/29/2023","2,796.41","2,790.27","2,804.80","2,783.53","","0.56%"
"06/28/2023","2,780.92","2,781.10","2,787.52","2,766.93","","0.15%"
"06/27/2023","2,776.63","2,759.61","2,785.33","2,743.07","","0.71%"
"06/26/2023","2,757.13","2,771.52","2,784.28","2,741.33","","-1.36%"
"06/23/2023","2,795.06","2,790.04","2,795.06","2,767.82","","-0.74%"
"06/22/2023","2,815.83","2,817.30","2,820.43","2,805.92","","-0.12%"
"06/21/2023","2,819.30","2,808.87","2,821.88","2,794.68","","0.56%"
"06/20/2023","2,803.69","2,810.14","2,814.72","2,778.00","","-0.40%"
"06/19/2023","2,815.07","2,808.04","2,816.57","2,783.69","","0.51%"
"06/16/2023","2,800.79","2,809.28","2,813.74","2,783.71","","0.02%"
"06/15/2023","2,800.17","2,776.77","2,809.42","2,764.89","","1.27%"
"06/14/2023","2,765.18","2,777.20","2,786.06","2,758.35","","0.29%"
"06/13/2023","2,757.28","2,715.31","2,757.28","2,715.15","","1.82%"
"06/09/2023","2,708.04","2,717.20","2,721.84","2,705.24","","-0.06%"
"06/08/2023","2,709.69","2,693.60","2,709.69","2,688.31","","0.56%"
"06/07/2023","2,694.69","2,690.94","2,711.72","2,674.11","","0.50%"
"06/06/2023","2,681.25","2,667.76","2,687.41","2,628.00","","-0.48%"
"06/05/2023","2,694.14","2,726.17","2,738.82","2,679.30","","-0.93%"
"06/02/2023","2,719.48","2,684.59","2,720.47","2,684.59","","-0.08%"
"06/01/2023","2,721.73","2,720.21","2,729.97","2,709.33","","0.15%"
"05/31/2023","2,717.64","2,698.11","2,718.27","2,676.27","","0.70%"
"05/30/2023","2,698.75","2,712.04","2,748.60","2,687.81","","-1.22%"
"05/29/2023","2,732.00","2,697.46","2,732.00","2,697.46","","1.86%"
"05/26/2023","2,682.03","2,650.38","2,685.14","2,645.54","","1.21%"
"05/25/2023","2,649.98","2,662.85","2,663.51","2,631.03","","-0.19%"
"05/24/2023","2,654.99","2,643.73","2,659.68","2,626.43","","0.50%"
"05/23/2023","2,641.66","2,641.05","2,648.69","2,607.63","","0.32%"
"05/22/2023","2,633.26","2,648.30","2,652.97","2,622.35","","0.27%"
"05/19/2023","2,626.16","2,627.59","2,635.80","2,612.47","","-0.26%"
"05/18/2023","2,632.91","2,650.12","2,658.57","2,624.49","","-0.06%"
"05/17/2023","2,634.48","2,637.51","2,646.61","2,623.15","","0.03%"
"05/16/2023","2,633.71","2,645.94","2,655.73","2,621.59","","0.87%"
"05/15/2023","2,611.07","2,581.64","2,611.71","2,581.64","","1.79%"
"05/12/2023","2,565.17","2,570.65","2,584.91","2,552.05","","-1.15%"
"05/11/2023","2,595.12","2,573.41","2,610.80","2,567.98","","1.82%"
"05/10/2023","2,548.63","2,483.92","2,556.67","2,483.79","","0.83%"
"05/08/2023","2,527.59","2,528.74","2,538.23","2,513.84","","-0.42%"
"05/05/2023","2,538.24","2,544.47","2,555.39","2,529.08","","0.54%"
"05/04/2023","2,524.51","2,524.97","2,547.20","2,524.36","","-0.31%"
"05/03/2023","2,532.42","2,585.40","2,586.17","2,532.42","","-1.86%"
"05/02/2023","2,580.51","2,623.29","2,635.53","2,560.09","","-2.07%"
"04/28/2023","2,634.94","2,653.93","2,657.90","2,608.02","","-0.42%"
"04/27/2023","2,646.18","2,620.65","2,646.18","2,617.04","","0.99%"
"04/26/2023","2,620.33","2,625.62","2,631.13","2,614.98","","-0.25%"
"04/25/2023","2,626.86","2,639.67","2,642.12","2,619.67","","-0.33%"
"04/24/2023","2,635.43","2,636.76","2,651.80","2,609.40","","-0.17%"
"04/21/2023","2,639.95","2,640.99","2,648.21","2,626.94","","0.08%"
"04/20/2023","2,637.85","2,600.71","2,640.78","2,565.61","","1.20%"
"04/19/2023","2,606.55","2,617.91","2,629.01","2,584.96","","-0.35%"
"04/18/2023","2,615.62","2,601.34","2,615.62","2,586.05","","0.75%"
"04/17/2023","2,596.11","2,572.54","2,596.45","2,572.54","","1.61%"
"04/14/2023","2,554.85","2,546.93","2,554.85","2,532.39","","0.42%"
"04/13/2023","2,544.28","2,546.98","2,557.58","2,528.06","","0.23%"
"04/12/2023","2,538.47","2,538.62","2,554.77","2,520.65","","0.19%"
"04/11/2023","2,533.69","2,560.04","2,577.51","2,515.83","","-0.54%"
"04/10/2023","2,547.35","2,523.20","2,548.41","2,523.20","","1.55%"
"04/07/2023","2,508.39","2,504.04","2,511.95","2,491.37","","0.40%"
"04/06/2023","2,498.30","2,504.06","2,521.81","2,498.30","","-0.10%"
"04/05/2023","2,500.80","2,489.18","2,500.80","2,465.77","","0.82%"
"04/04/2023","2,480.45","2,483.47","2,511.49","2,479.24","","0.29%"
"04/03/2023","2,473.32","2,474.37","2,482.54","2,463.00","","0.92%"
"03/31/2023","2,450.67","2,470.12","2,472.53","2,424.45","","-0.62%"
"03/30/2023","2,465.93","2,458.06","2,467.97","2,450.46","","0.21%"
"03/29/2023","2,460.87","2,449.96","2,468.48","2,437.52","","0.76%"
"03/28/2023","2,442.19","2,453.26","2,458.37","2,421.39","","0.06%"
"03/27/2023","2,440.68","2,400.84","2,440.68","2,400.84","","2.06%"
"03/24/2023","2,391.53","2,386.53","2,394.03","2,384.29","","0.13%"
"03/23/2023","2,388.35","2,386.70","2,396.50","2,379.88","","-0.23%"
"03/22/2023","2,393.88","2,387.81","2,398.76","2,374.46","","-0.18%"
"03/21/2023","2,398.15","2,417.43","2,431.23","2,383.08","","0.04%"
"03/20/2023","2,397.16","2,337.83","2,397.16","2,332.80","","3.20%"
"03/17/2023","2,322.78","2,284.78","2,322.78","2,275.48","","2.86%"
"03/16/2023","2,258.22","2,262.61","2,269.01","2,236.77","","-0.17%"
"03/15/2023","2,262.07","2,287.16","2,295.06","2,257.00","","-1.23%"
"03/14/2023","2,290.32","2,266.78","2,290.32","2,261.65","","0.92%"
"03/13/2023","2,269.47","2,279.13","2,289.70","2,250.14","","-0.30%"
"03/10/2023","2,276.25","2,272.61","2,283.18","2,266.33","","-0.61%"
"03/09/2023","2,290.14","2,295.03","2,302.10","2,278.95","","-0.24%"
"03/07/2023","2,295.60","2,294.32","2,298.93","2,281.46","","0.06%"
"03/06/2023","2,294.12","2,286.20","2,297.86","2,283.40","","0.96%"
"03/03/2023","2,272.20","2,250.12","2,273.52","2,249.81","","0.79%"
"03/02/2023","2,254.30","2,284.87","2,286.27","2,235.43","","-1.11%"
"03/01/2023","2,279.65","2,258.89","2,287.48","2,255.45","","1.18%"
"02/28/2023","2,253.16","2,246.26","2,258.68","2,239.59","","0.54%"
"02/27/2023","2,241.10","2,194.39","2,241.10","2,188.95","","1.50%"
"02/24/2023","2,208.03","2,209.10","2,223.23","2,202.25","","-0.20%"
"02/22/2023","2,212.40","2,215.43","2,215.58","2,194.99","","0.00%"
"02/21/2023","2,212.42","2,184.60","2,227.82","2,184.51","","1.32%"
"02/20/2023","2,183.57","2,172.53","2,186.39","2,140.78","","0.68%"
"02/17/2023","2,168.88","2,157.50","2,180.96","2,147.31","","0.69%"
"02/16/2023","2,153.96","2,169.39","2,186.64","2,150.17","","-0.58%"
"02/15/2023","2,166.46","2,216.69","2,216.69","2,164.70","","-2.95%"
"02/14/2023","2,232.23","2,256.59","2,256.96","2,225.94","","-1.42%"
"02/13/2023","2,264.27","2,262.65","2,271.00","2,261.37","","0.12%"
"02/10/2023","2,261.58","2,253.51","2,264.39","2,249.62","","-0.04%"
"02/09/2023","2,262.45","2,258.97","2,269.96","2,241.02","","0.47%"
"02/08/2023","2,251.97","2,273.59","2,283.49","2,244.52","","-0.69%"
"02/07/2023","2,267.69","2,281.69","2,290.51","2,262.30","","-0.21%"
"02/06/2023","2,272.37","2,245.93","2,276.50","2,243.77","","1.07%"
"02/03/2023","2,248.30","2,239.10","2,253.70","2,216.63","","0.21%"
"02/02/2023","2,243.54","2,243.04","2,249.56","2,228.56","","0.60%"
"02/01/2023","2,230.15","2,232.02","2,247.12","2,224.95","","0.20%"
"01/31/2023","2,225.60","2,203.57","2,225.60","2,202.76","","0.96%"
"01/30/2023","2,204.41","2,193.99","2,204.41","2,189.12","","0.69%"
"01/27/2023","2,189.35","2,174.85","2,189.35","2,167.33","","1.04%"
"01/26/2023","2,166.92","2,181.96","2,183.77","2,166.92","","-0.15%"
"01/25/2023","2,170.15","2,168.48","2,176.61","2,160.76","","-0.12%"
"01/24/2023","2,172.75","2,191.64","2,199.29","2,172.75","","-0.57%"
"01/23/2023","2,185.31","2,167.92","2,186.85","2,164.89","","0.86%"
"01/20/2023","2,166.69","2,167.61","2,173.71","2,154.37","","-0.10%"
"01/19/2023","2,168.83","2,190.02","2,193.93","2,162.11","","-1.25%"
"01/18/2023","2,196.26","2,188.90","2,206.66","2,177.65","","-0.03%"
"01/17/2023","2,196.84","2,225.26","2,226.49","2,196.84","","-1.26%"
"01/16/2023","2,224.90","2,204.64","2,224.90","2,204.46","","1.13%"
"01/13/2023","2,199.94","2,188.60","2,204.18","2,179.82","","0.64%"
"01/12/2023","2,185.93","2,193.53","2,194.80","2,177.36","","-0.05%"
"01/11/2023","2,186.98","2,156.28","2,190.40","2,153.55","","1.27%"
"01/10/2023","2,159.51","2,162.70","2,162.92","2,145.14","","-0.18%"
"01/09/2023","2,163.50","2,163.43","2,169.71","2,162.01","","0.33%"
"01/06/2023","2,156.39","2,157.32","2,160.08","2,153.32","","-0.01%"
"01/05/2023","2,156.67","2,170.40","2,171.94","2,154.16","","-0.54%"
"01/04/2023","2,168.42","2,171.54","2,179.56","2,162.06","","-0.20%"
"01/03/2023","2,172.68","2,157.18","2,174.23","2,157.18","","0.86%"
"12/30/2022","2,154.12","2,149.83","2,154.47","2,139.79","","0.33%"
"12/29/2022","2,147.06","2,135.91","2,149.94","2,134.48","","0.34%"
"12/28/2022","2,139.77","2,150.12","2,152.47","2,136.68","","-0.52%"
"12/27/2022","2,150.92","2,142.08","2,154.35","2,138.11","","0.55%"
"12/26/2022","2,139.21","2,126.40","2,139.78","2,126.40","","0.72%"
"12/23/2022","2,124.02","2,121.99","2,128.27","2,110.59","","0.05%"
"12/22/2022","2,122.91","2,124.37","2,134.48","2,114.91","","0.32%"
"12/21/2022","2,116.13","2,135.41","2,139.49","2,102.24","","-0.15%"
"12/20/2022","2,119.37","2,071.10","2,119.37","2,070.58","","-0.50%"
"12/19/2022","2,129.98","2,131.33","2,139.07","2,109.56","","-0.13%"
"12/16/2022","2,132.75","2,118.43","2,135.79","2,116.08","","0.28%"
"12/15/2022","2,126.80","2,151.69","2,151.69","2,115.21","","-1.53%"
"12/14/2022","2,159.81","2,171.12","2,171.31","2,154.65","","-0.67%"
"12/13/2022","2,174.38","2,175.29","2,177.95","2,154.52","","0.06%"
"12/12/2022","2,173.16","2,178.33","2,185.49","2,163.33","","-0.22%"
"12/09/2022","2,177.85","2,178.93","2,183.97","2,169.04","","-0.30%"
"12/08/2022","2,184.43","2,196.17","2,197.77","2,174.57","","-0.39%"
"12/07/2022","2,192.88","2,185.01","2,193.71","2,166.77","","-0.15%"
"12/06/2022","2,196.24","2,204.51","2,208.36","2,184.65","","-0.55%"
"12/05/2022","2,208.28","2,179.79","2,210.70","2,174.17","","1.28%"
"12/02/2022","2,180.44","2,189.19","2,189.35","2,173.48","","-0.31%"
"12/01/2022","2,187.29","2,189.65","2,193.41","2,183.57","","0.59%"
"11/30/2022","2,174.53","2,184.27","2,184.27","2,172.67","","-0.49%"
"11/29/2022","2,185.32","2,180.65","2,191.44","2,178.34","","0.36%"
"11/28/2022","2,177.45","2,180.32","2,182.16","2,163.44","","-0.81%"
"11/25/2022","2,195.17","2,209.31","2,211.10","2,190.67","","-0.71%"
"11/24/2022","2,210.95","2,214.14","2,225.92","2,206.12","","-0.04%"
"11/23/2022","2,211.89","2,196.24","2,217.40","2,180.64","","0.72%"
"11/22/2022","2,196.04","2,179.76","2,200.06","2,169.62","","1.37%"
"11/21/2022","2,166.31","2,204.90","2,204.90","2,161.35","","-1.81%"
"11/18/2022","2,206.32","2,208.39","2,211.70","2,189.93","","-0.30%"
"11/17/2022","2,212.93","2,227.54","2,235.76","2,200.11","","-0.64%"
"11/16/2022","2,227.19","2,199.10","2,232.83","2,191.95","","0.18%"
"11/15/2022","2,223.26","2,249.22","2,254.94","2,211.19","","-0.96%"
"11/14/2022","2,244.77","2,230.80","2,245.90","2,221.31","","1.23%"
"11/11/2022","2,217.44","2,221.68","2,224.97","2,204.33","","0.34%"
"11/10/2022","2,210.02","2,167.96","2,211.21","2,161.57","","2.01%"
"11/09/2022","2,166.56","2,201.06","2,205.92","2,166.42","","-1.84%"
"11/08/2022","2,207.20","2,213.39","2,221.13","2,188.22","","-0.07%"
"11/07/2022","2,208.78","2,176.33","2,208.78","2,172.34","","2.45%"
"11/03/2022","2,155.92","2,145.54","2,156.78","2,123.32","","-0.82%"
"11/02/2022","2,173.84","2,178.25","2,184.89","2,160.56","","-0.02%"
"11/01/2022","2,174.35","2,179.15","2,185.60","2,161.18","","0.36%"
"10/31/2022","2,166.61","2,173.00","2,184.38","2,155.75","","-0.05%"
"10/28/2022","2,167.70","2,154.28","2,171.88","2,130.75","","0.14%"
"10/27/2022","2,164.64","2,133.81","2,164.64","2,123.57","","2.08%"
"10/26/2022","2,120.58","2,131.18","2,144.56","2,093.12","","-0.47%"
"10/25/2022","2,130.65","2,066.28","2,130.65","2,058.09","","3.23%"
"10/24/2022","2,063.95","2,070.36","2,088.31","2,048.37","","0.99%"
"10/21/2022","2,043.71","2,026.44","2,049.00","2,000.68","","0.90%"
"10/20/2022","2,025.51","1,998.74","2,032.58","1,991.09","","2.38%"
"10/19/2022","1,978.40","1,986.67","2,006.06","1,953.74","","-2.66%"
"10/18/2022","2,032.40","2,031.56","2,039.67","1,999.38","","0.97%"
"10/17/2022","2,012.85","1,958.18","2,013.61","1,955.70","","3.17%"
"10/14/2022","1,950.98","1,963.38","1,965.77","1,933.29","","-0.22%"
"10/13/2022","1,955.20","1,950.24","1,975.84","1,941.18","","0.18%"
"10/12/2022","1,951.65","1,965.39","1,974.59","1,937.93","","0.11%"
"10/11/2022","1,949.46","1,928.74","1,952.80","1,909.11","","1.69%"
"10/10/2022","1,916.97","1,783.66","1,917.91","1,775.04","","-1.43%"
"10/07/2022","1,944.75","2,012.95","2,012.95","1,939.54","","-3.76%"
"10/06/2022","2,020.63","2,027.30","2,053.86","2,015.09","","-0.46%"
"10/05/2022","2,029.88","2,041.50","2,045.62","1,971.91","","-0.81%"
"10/04/2022","2,046.42","2,071.19","2,079.67","2,016.59","","0.22%"
"10/03/2022","2,041.96","1,991.88","2,047.54","1,972.43","","4.32%"
"09/30/2022","1,957.31","1,977.75","2,005.21","1,872.95","","0.18%"
"09/29/2022","1,953.77","1,998.24","2,005.80","1,917.62","","-0.51%"
"09/28/2022","1,963.86","1,978.89","2,018.99","1,948.25","","0.53%"
"09/27/2022","1,953.46","1,930.58","1,975.32","1,904.24","","1.04%"
"09/26/2022","1,933.35","2,054.56","2,054.56","1,841.42","","-7.49%"
"09/23/2022","2,089.87","2,192.11","2,192.68","2,071.37","","-4.61%"
"09/22/2022","2,190.87","2,138.39","2,216.85","2,138.39","","2.82%"
"09/21/2022","2,130.71","2,052.89","2,186.43","2,002.73","","-3.83%"
"09/20/2022","2,215.67","2,430.53","2,436.30","2,171.92","","-8.84%"
"09/19/2022","2,430.54","2,436.48","2,453.03","2,427.19","","-0.19%"
"09/16/2022","2,435.18","2,446.09","2,469.02","2,427.68","","-0.47%"
"09/15/2022","2,446.59","2,434.79","2,457.02","2,418.30","","0.44%"
"09/14/2022","2,435.89","2,439.96","2,439.96","2,400.14","","-0.45%"
"09/13/2022","2,446.89","2,459.75","2,465.55","2,438.80","","-0.11%"
"09/12/2022","2,449.65","2,419.77","2,465.22","2,413.55","","0.97%"
"09/09/2022","2,426.06","2,391.69","2,426.81","2,391.69","","1.50%"
"09/08/2022","2,390.27","2,397.59","2,407.39","2,378.30","","-0.47%"
"09/07/2022","2,401.57","2,422.88","2,436.64","2,394.56","","-0.98%"
"09/06/2022","2,425.33","2,487.76","2,492.15","2,382.24","","-2.54%"
"09/05/2022","2,488.44","2,472.10","2,488.44","2,440.88","","0.69%"
"09/02/2022","2,471.45","2,443.76","2,474.71","2,431.54","","1.05%"
"09/01/2022","2,445.77","2,401.98","2,448.50","2,380.01","","1.90%"
"08/31/2022","2,400.08","2,377.02","2,423.12","2,368.42","","4.05%"
"08/30/2022","2,306.62","2,299.28","2,314.53","2,292.44","","0.45%"
"08/29/2022","2,296.33","2,267.43","2,296.33","2,263.99","","1.21%"
"08/26/2022","2,268.89","2,248.98","2,268.89","2,239.66","","1.00%"
"08/25/2022","2,246.34","2,249.39","2,266.18","2,234.87","","-0.08%"
"08/24/2022","2,248.22","2,263.57","2,273.65","2,243.08","","-0.52%"
"08/23/2022","2,260.08","2,230.74","2,261.59","2,230.74","","1.43%"
"08/22/2022","2,228.11","2,193.29","2,231.22","2,187.04","","1.50%"
"08/19/2022","2,195.16","2,199.60","2,199.60","2,179.56","","0.04%"
"08/18/2022","2,194.31","2,188.42","2,197.92","2,176.02","","0.26%"
"08/17/2022","2,188.56","2,213.43","2,225.05","2,186.86","","-0.90%"
"08/16/2022","2,208.33","2,172.40","2,208.33","2,168.06","","2.00%"
"08/15/2022","2,165.12","2,147.76","2,165.75","2,139.45","","0.83%"
"08/12/2022","2,147.33","2,133.93","2,150.90","2,117.08","","0.67%"
"08/11/2022","2,133.11","2,157.17","2,174.90","2,128.38","","-0.85%"
"08/10/2022","2,151.50","2,138.81","2,158.87","2,128.59","","0.69%"
"08/09/2022","2,136.80","2,090.37","2,136.80","2,071.72","","2.32%"
"08/08/2022","2,088.40","2,106.50","2,119.41","2,086.98","","1.66%"
"08/05/2022","2,054.29","2,120.13","2,124.60","2,052.08","","-2.94%"
"08/04/2022","2,116.58","2,126.39","2,137.83","2,111.87","","-0.35%"
"08/03/2022","2,123.92","2,138.76","2,156.54","2,123.92","","-0.63%"
"08/02/2022","2,137.30","2,176.57","2,178.81","2,137.30","","-1.96%"
"08/01/2022","2,180.09","2,213.75","2,220.73","2,178.98","","-1.52%"
"07/29/2022","2,213.81","2,187.67","2,213.81","2,181.07","","1.13%"
"07/28/2022","2,189.16","2,204.01","2,213.21","2,169.21","","-0.32%"
"07/27/2022","2,196.22","2,198.96","2,220.82","2,184.71","","0.17%"
"07/26/2022","2,192.42","2,135.89","2,192.42","2,135.89","","2.98%"
"07/25/2022","2,128.96","2,099.81","2,132.75","2,090.22","","1.54%"
"07/22/2022","2,096.75","2,056.16","2,099.68","2,053.20","","2.10%"
